Product_Category,Price,Customer_Tenure_Months,Previous_Returns,Day_of_Week,Order_Hour,Delivery_Speed,Return
Home,132.4,22.0,4.0,Thu,1.0,SameDay,0
Toys,38.21,91.0,3.0,Wed,21.0,Standard,0
Books,429.87,92.0,5.0,Wed,0.0,Standard,1
Home,308.63,73.0,7.0,Tue,9.0,Expedited,1
Clothing,76.4,36.0,8.0,Wed,1.0,Expedited,0
Electronics,,64.0,,Mon,10.0,SameDay,1
Clothing,255.32,46.0,3.0,Thu,22.0,SameDay,1
Books,107.87,53.0,,Tue,10.0,Expedited,0
Toys,132.05,78.0,5.0,Fri,10.0,Standard,0
Clothing,59.46,71.0,,Sat,8.0,Standard,0
Electronics,496.29,106.0,4.0,Mon,7.0,Expedited,1
Electronics,63.19,49.0,5.0,Tue,0.0,Standard,0
Clothing,364.06,59.0,,Sat,21.0,Standard,1
Toys,387.57,57.0,9.0,Mon,12.0,Standard,1
Toys,247.21,40.0,4.0,Tue,6.0,Expedited,0
Books,387.16,115.0,9.0,Tue,14.0,Expedited,1
Toys,246.3,2.0,7.0,Mon,5.0,Expedited,1
Clothing,116.7,,9.0,Tue,1.0,Expedited,0
Home,439.73,116.0,7.0,Sat,13.0,Expedited,1
Books,352.14,88.0,4.0,Thu,3.0,SameDay,1
Electronics,457.84,,3.0,Wed,18.0,SameDay,1
Toys,373.3,16.0,8.0,Tue,2.0,Expedited,1
Electronics,313.16,92.0,2.0,Sun,18.0,Expedited,0
Toys,112.32,102.0,7.0,Mon,14.0,SameDay,0
Home,48.56,88.0,1.0,Mon,8.0,Standard,0
Clothing,486.71,14.0,4.0,Sat,7.0,Standard,1
Electronics,445.66,106.0,6.0,Sun,17.0,Standard,1
Home,23.72,84.0,0.0,Mon,7.0,Standard,0
Electronics,193.8,44.0,3.0,Fri,14.0,Standard,0
Home,254.94,103.0,0.0,Sun,12.0,Standard,0
Books,347.99,71.0,1.0,Sun,11.0,Expedited,0
Home,283.51,101.0,8.0,Wed,7.0,SameDay,0
Home,78.94,6.0,0.0,Sun,19.0,Expedited,0
Clothing,224.35,45.0,6.0,Sun,21.0,SameDay,1
Toys,262.56,39.0,4.0,Tue,20.0,Expedited,0
Electronics,,92.0,9.0,Sun,,Expedited,1
Electronics,216.63,52.0,4.0,Thu,16.0,SameDay,0
Toys,176.5,74.0,1.0,Mon,13.0,SameDay,0
Books,219.22,7.0,3.0,Thu,15.0,SameDay,0
Home,294.45,75.0,9.0,Wed,14.0,SameDay,0
Home,470.55,27.0,0.0,Tue,18.0,Standard,0
Home,391.14,19.0,,Thu,4.0,Expedited,0
Electronics,295.37,14.0,0.0,Tue,8.0,Expedited,0
Toys,243.89,,4.0,Mon,7.0,Expedited,0
Clothing,106.91,48.0,8.0,Mon,7.0,Standard,0
Toys,490.48,31.0,9.0,Sat,0.0,Standard,1
Toys,171.1,77.0,8.0,Fri,0.0,Standard,0
Home,87.26,20.0,3.0,Mon,4.0,Standard,0
Toys,,63.0,5.0,Mon,22.0,Expedited,1
Books,184.81,54.0,4.0,Wed,9.0,Standard,0
Clothing,322.15,14.0,8.0,Thu,13.0,Standard,1
Clothing,433.96,73.0,8.0,Thu,22.0,Standard,1
Electronics,173.82,68.0,9.0,Sat,19.0,Expedited,0
Clothing,5.3,113.0,2.0,Thu,12.0,Standard,0
Books,348.24,89.0,9.0,Mon,2.0,Expedited,1
Clothing,188.63,26.0,0.0,Mon,11.0,Standard,0
Toys,301.64,56.0,3.0,Tue,4.0,Expedited,1
Home,120.62,30.0,5.0,Fri,12.0,Expedited,0
Home,91.45,8.0,5.0,Sat,10.0,Standard,0
Electronics,164.23,58.0,4.0,Wed,3.0,Expedited,0
Clothing,,30.0,1.0,Thu,20.0,SameDay,1
Clothing,129.9,3.0,2.0,Sat,17.0,Standard,1
Home,405.36,65.0,4.0,Thu,8.0,Standard,1
Clothing,363.15,95.0,1.0,Sun,8.0,Standard,0
Books,451.45,93.0,4.0,Sun,11.0,SameDay,1
Clothing,239.71,34.0,2.0,Fri,22.0,Standard,0
Books,91.38,117.0,9.0,Wed,15.0,Standard,0
Electronics,494.27,110.0,6.0,Mon,2.0,Expedited,1
Electronics,109.55,40.0,0.0,Sat,,Expedited,0
Clothing,129.65,96.0,4.0,Fri,21.0,Expedited,0
Electronics,337.03,,8.0,Sun,3.0,SameDay,1
Electronics,172.49,92.0,8.0,Sun,20.0,Expedited,0
Clothing,262.49,76.0,7.0,Wed,9.0,SameDay,1
Books,39.35,119.0,6.0,Thu,2.0,Expedited,0
Books,69.51,80.0,9.0,Wed,22.0,Standard,0
Toys,68.89,24.0,6.0,Sat,6.0,Standard,0
Toys,,63.0,2.0,Wed,1.0,Expedited,0
Books,449.21,57.0,3.0,Thu,15.0,Expedited,1
Books,335.02,88.0,1.0,Thu,15.0,SameDay,0
Toys,200.89,16.0,3.0,Thu,23.0,SameDay,0
Books,49.76,108.0,,Fri,12.0,Expedited,0
Home,449.01,16.0,7.0,Tue,13.0,Expedited,1
Toys,252.53,91.0,8.0,Sat,17.0,SameDay,0
Toys,274.59,28.0,5.0,Sat,19.0,Standard,0
Home,293.31,83.0,5.0,Wed,9.0,Standard,0
Electronics,102.79,5.0,1.0,Sun,20.0,Expedited,0
Toys,15.88,73.0,5.0,Sun,3.0,Expedited,0
Toys,142.56,26.0,2.0,Sat,7.0,SameDay,0
Home,39.03,33.0,8.0,Tue,1.0,Standard,0
Home,,60.0,7.0,Mon,2.0,SameDay,0
Clothing,71.43,86.0,6.0,Fri,1.0,Expedited,0
Toys,180.5,96.0,2.0,Tue,23.0,Expedited,0
Books,497.82,66.0,2.0,Tue,1.0,Standard,0
Home,164.73,117.0,5.0,Wed,21.0,Standard,0
Books,132.19,61.0,7.0,Wed,11.0,Standard,0
Home,273.44,72.0,7.0,Thu,8.0,Expedited,0
Books,,3.0,,Tue,1.0,Expedited,1
Toys,213.99,8.0,7.0,Tue,20.0,Expedited,0
Clothing,60.69,42.0,6.0,Sun,13.0,Expedited,0
Clothing,131.06,99.0,8.0,Sun,2.0,Expedited,0
Toys,340.15,,3.0,Fri,0.0,Expedited,1
Toys,44.46,34.0,5.0,Wed,6.0,Standard,0
Home,182.87,33.0,2.0,Sun,4.0,Standard,0
Electronics,9.54,112.0,5.0,Thu,11.0,SameDay,0
Books,375.09,36.0,1.0,Wed,5.0,SameDay,0
Electronics,494.73,77.0,9.0,Fri,21.0,SameDay,1
Home,476.89,99.0,7.0,Sun,10.0,Expedited,1
Toys,212.09,,8.0,Sat,1.0,Standard,0
Toys,479.82,64.0,8.0,Sat,16.0,Standard,1
Toys,,88.0,,Sun,22.0,Expedited,0
Books,337.89,21.0,9.0,Mon,21.0,Expedited,1
Home,304.85,67.0,6.0,Thu,2.0,Standard,1
Books,391.45,112.0,5.0,Tue,23.0,Expedited,1
Books,32.83,109.0,4.0,Wed,5.0,SameDay,0
Electronics,399.72,112.0,1.0,Wed,3.0,Standard,0
Electronics,292.89,72.0,7.0,Wed,20.0,SameDay,0
Toys,314.23,23.0,1.0,Thu,9.0,Standard,0
Toys,130.03,88.0,0.0,Fri,2.0,Standard,0
Home,422.06,94.0,,Sat,20.0,SameDay,1
Electronics,496.11,113.0,8.0,Mon,23.0,SameDay,1
Clothing,323.73,72.0,3.0,Sat,23.0,Expedited,1
Toys,278.97,47.0,2.0,Sun,13.0,Standard,0
Home,,53.0,0.0,Sun,4.0,Standard,0
Electronics,497.31,56.0,3.0,Fri,5.0,Expedited,1
Toys,298.32,99.0,2.0,Wed,,Standard,0
Home,124.29,91.0,0.0,Sat,18.0,SameDay,0
Clothing,488.76,44.0,1.0,Wed,16.0,Expedited,0
Electronics,112.71,20.0,8.0,Sun,19.0,SameDay,0
Books,127.09,116.0,2.0,Thu,3.0,SameDay,0
Toys,64.97,30.0,8.0,Wed,10.0,SameDay,0
Clothing,174.58,16.0,8.0,Sun,6.0,Expedited,0
Toys,468.08,91.0,5.0,Thu,0.0,Expedited,1
Home,142.95,111.0,5.0,Fri,17.0,Expedited,0
Home,314.54,10.0,5.0,Tue,1.0,Standard,1
Books,29.39,1.0,6.0,Mon,2.0,Standard,1
Books,465.35,110.0,9.0,Tue,22.0,Expedited,1
Home,171.99,101.0,1.0,Tue,19.0,SameDay,0
Home,361.03,82.0,8.0,Sat,0.0,SameDay,1
Electronics,48.63,48.0,2.0,Mon,17.0,SameDay,0
Electronics,45.38,36.0,0.0,Wed,12.0,Standard,0
Electronics,431.23,50.0,0.0,Sun,22.0,Standard,0
Electronics,76.94,67.0,6.0,Sat,,Expedited,0
Electronics,474.44,58.0,2.0,Tue,21.0,Expedited,0
Clothing,41.88,65.0,3.0,Wed,18.0,Standard,0
Books,140.98,5.0,6.0,Mon,13.0,SameDay,1
Clothing,76.21,32.0,1.0,Sat,10.0,SameDay,1
Books,312.02,107.0,7.0,Sun,,Standard,1
Books,250.38,49.0,3.0,Sat,8.0,Expedited,0
Clothing,205.78,37.0,,Sun,17.0,Standard,0
Toys,214.79,95.0,4.0,Sat,0.0,Expedited,0
Clothing,63.16,117.0,9.0,Thu,22.0,SameDay,1
Clothing,314.35,24.0,9.0,Wed,3.0,SameDay,1
Toys,88.46,44.0,7.0,Thu,17.0,Standard,0
Home,284.39,76.0,6.0,Tue,15.0,Standard,0
Clothing,,97.0,2.0,Mon,,Expedited,0
Clothing,441.45,105.0,1.0,Sat,16.0,Standard,0
Books,455.86,38.0,4.0,Wed,5.0,SameDay,1
Books,82.38,104.0,0.0,Sat,,SameDay,0
Electronics,233.92,64.0,0.0,Sun,9.0,Standard,0
Clothing,,,0.0,Thu,17.0,SameDay,1
Home,476.37,5.0,3.0,Wed,4.0,SameDay,1
Clothing,446.77,26.0,2.0,Sun,1.0,SameDay,1
Electronics,341.19,27.0,1.0,Mon,8.0,Standard,0
Electronics,343.68,89.0,,Thu,9.0,Standard,1
Electronics,337.02,14.0,8.0,Fri,21.0,Standard,1
Books,389.52,33.0,4.0,Sat,7.0,Standard,1
Electronics,345.71,63.0,7.0,Mon,5.0,Standard,1
Toys,249.03,98.0,9.0,Fri,6.0,Expedited,0
Clothing,137.8,15.0,0.0,Tue,1.0,Expedited,0
Clothing,273.76,117.0,7.0,Sat,13.0,Standard,0
Home,137.68,23.0,4.0,Thu,9.0,Expedited,0
Home,431.25,81.0,4.0,Sat,2.0,Expedited,1
Electronics,366.47,22.0,6.0,Sat,5.0,Expedited,1
Toys,363.66,37.0,5.0,Mon,2.0,Expedited,1
Toys,125.59,45.0,9.0,Thu,21.0,Expedited,0
Clothing,21.24,65.0,7.0,Fri,5.0,Expedited,0
Clothing,12.93,68.0,9.0,Thu,11.0,Standard,0
Toys,442.7,48.0,3.0,Thu,22.0,Expedited,1
Toys,85.15,5.0,6.0,Tue,1.0,Expedited,1
Electronics,491.94,3.0,6.0,Mon,23.0,SameDay,1
Books,258.3,12.0,5.0,Sat,14.0,Expedited,0
Clothing,376.33,79.0,,Thu,5.0,Expedited,1
Books,332.43,39.0,5.0,Wed,21.0,Expedited,1
Toys,254.51,105.0,9.0,Sun,4.0,SameDay,0
Toys,360.25,50.0,7.0,Fri,21.0,Expedited,1
Books,317.57,31.0,0.0,Thu,8.0,Standard,0
Toys,291.99,53.0,3.0,Sun,22.0,Standard,0
Toys,111.94,81.0,0.0,Sat,2.0,SameDay,0
Home,18.79,92.0,6.0,Wed,12.0,Expedited,0
Clothing,140.74,30.0,8.0,Mon,5.0,Standard,0
Home,198.08,74.0,2.0,Sat,23.0,SameDay,0
Clothing,108.12,21.0,1.0,Fri,21.0,SameDay,1
Clothing,9.27,17.0,7.0,Wed,19.0,Standard,0
Clothing,458.74,10.0,8.0,Mon,20.0,SameDay,1
Electronics,11.32,89.0,7.0,Fri,5.0,Expedited,0
Home,170.4,79.0,8.0,Thu,12.0,Expedited,0
Home,231.59,59.0,1.0,Wed,20.0,Expedited,0
Toys,437.33,117.0,,Sat,0.0,Standard,1
Books,375.56,48.0,9.0,Wed,18.0,Expedited,1
Home,225.06,119.0,5.0,Sat,9.0,Standard,0
Toys,437.26,87.0,4.0,Thu,17.0,Expedited,1
Home,167.77,70.0,0.0,Tue,22.0,Expedited,0
Books,236.01,27.0,1.0,Sat,,SameDay,0
Home,456.84,110.0,2.0,Sat,6.0,Standard,0
Electronics,136.29,108.0,,Sat,7.0,Expedited,0
Electronics,160.06,81.0,1.0,Fri,2.0,Standard,0
Toys,433.72,97.0,2.0,Tue,21.0,SameDay,0
Home,60.64,,1.0,Sat,11.0,SameDay,0
Clothing,319.87,76.0,2.0,Sat,5.0,Standard,0
Books,266.45,32.0,6.0,Sun,7.0,SameDay,0
Toys,275.57,73.0,4.0,Sat,3.0,SameDay,0
Electronics,109.09,116.0,7.0,Mon,,SameDay,0
Clothing,316.86,19.0,3.0,Wed,12.0,SameDay,1
Home,424.41,7.0,3.0,Mon,,Expedited,1
Electronics,49.22,54.0,0.0,Sun,19.0,Standard,0
Toys,147.26,90.0,3.0,Sun,3.0,SameDay,0
Books,407.36,48.0,8.0,Fri,,Standard,1
Home,497.73,25.0,4.0,Thu,8.0,SameDay,1
Toys,242.88,91.0,2.0,Wed,6.0,SameDay,0
Books,70.19,93.0,9.0,Tue,10.0,Standard,0
Toys,352.92,3.0,7.0,Thu,8.0,Expedited,1
Electronics,248.65,110.0,3.0,Sat,14.0,SameDay,0
Home,77.99,,2.0,Thu,10.0,Expedited,0
Home,497.17,41.0,9.0,Fri,10.0,Expedited,1
Clothing,346.46,16.0,4.0,Fri,3.0,SameDay,1
Toys,471.8,45.0,7.0,Wed,3.0,Expedited,1
Electronics,184.99,26.0,4.0,Tue,23.0,Expedited,0
Electronics,345.45,2.0,,Wed,8.0,SameDay,1
Home,23.91,,4.0,Thu,19.0,Expedited,0
Electronics,67.8,79.0,,Sat,16.0,Expedited,0
Electronics,466.21,21.0,2.0,Sun,23.0,SameDay,0
Home,146.68,85.0,5.0,Mon,9.0,Standard,0
Books,453.44,32.0,1.0,Sat,3.0,SameDay,0
Electronics,259.47,119.0,8.0,Wed,,SameDay,0
Toys,408.12,5.0,5.0,Fri,10.0,Standard,1
Toys,209.76,58.0,5.0,Tue,22.0,Standard,0
Home,292.58,103.0,9.0,Mon,14.0,Expedited,0
Clothing,89.22,10.0,3.0,Wed,4.0,Expedited,0
Toys,426.76,107.0,0.0,Thu,4.0,Expedited,0
Electronics,199.85,52.0,1.0,Fri,17.0,Standard,0
Clothing,290.64,90.0,1.0,Thu,3.0,SameDay,1
Toys,474.65,33.0,1.0,Mon,8.0,Expedited,0
Clothing,163.73,93.0,,Sat,5.0,Expedited,0
Toys,360.19,64.0,3.0,Wed,6.0,Expedited,1
Home,234.97,104.0,8.0,Sun,8.0,SameDay,0
Home,456.73,46.0,2.0,Tue,16.0,Standard,0
Home,326.9,52.0,6.0,Wed,11.0,Expedited,1
Toys,29.68,89.0,5.0,Tue,3.0,Standard,0
Books,385.78,28.0,2.0,Tue,1.0,Standard,0
Home,67.34,53.0,9.0,Mon,5.0,SameDay,0
Books,145.23,56.0,6.0,Thu,21.0,Standard,0
Electronics,359.73,55.0,5.0,Sat,14.0,Standard,1
Home,253.67,,,Mon,12.0,SameDay,0
Toys,277.52,22.0,1.0,Wed,13.0,SameDay,0
Home,475.5,24.0,5.0,Tue,13.0,Standard,1
Electronics,484.17,75.0,1.0,Thu,13.0,Standard,0
Electronics,399.77,19.0,7.0,Fri,3.0,Standard,1
Clothing,455.06,57.0,6.0,Thu,22.0,Standard,1
Home,290.71,75.0,7.0,Thu,15.0,SameDay,0
Toys,337.28,57.0,6.0,Fri,14.0,SameDay,1
Electronics,415.82,112.0,5.0,Wed,4.0,Standard,1
Clothing,198.5,103.0,6.0,Sat,12.0,SameDay,1
Clothing,,,8.0,Thu,23.0,Standard,0
Electronics,313.16,85.0,6.0,Thu,11.0,Expedited,1
Books,429.19,33.0,8.0,Sun,22.0,Standard,1
Clothing,227.21,112.0,1.0,Thu,23.0,Expedited,0
Books,14.73,108.0,5.0,Sat,21.0,Standard,0
Home,213.21,91.0,5.0,Wed,8.0,Expedited,0
Books,,48.0,2.0,Mon,3.0,Standard,0
Books,358.62,82.0,0.0,Tue,3.0,Standard,0
Clothing,116.07,6.0,7.0,Thu,16.0,SameDay,1
Books,179.97,36.0,2.0,Thu,16.0,Standard,0
Toys,118.85,112.0,6.0,Tue,8.0,SameDay,0
Home,102.67,4.0,9.0,Sat,1.0,Expedited,1
Toys,171.92,114.0,1.0,Sat,9.0,Expedited,0
Home,,26.0,2.0,Sun,1.0,Expedited,0
Toys,286.29,63.0,8.0,Wed,19.0,SameDay,0
Home,371.63,65.0,4.0,Wed,3.0,SameDay,1
Books,28.3,13.0,6.0,Fri,13.0,Expedited,0
Electronics,287.29,30.0,8.0,Fri,22.0,SameDay,0
Electronics,11.94,13.0,7.0,Sun,18.0,Expedited,0
Toys,420.41,83.0,3.0,Tue,9.0,Expedited,1
Electronics,340.18,41.0,3.0,Wed,10.0,Standard,1
Home,330.85,115.0,9.0,Thu,22.0,Expedited,1
Books,353.5,82.0,4.0,Sun,0.0,Expedited,1
Books,243.23,65.0,3.0,Sun,7.0,Expedited,0
Books,148.54,93.0,5.0,Fri,,SameDay,0
Home,33.26,23.0,7.0,Mon,12.0,Standard,0
Toys,83.9,68.0,6.0,Thu,6.0,Standard,0
Books,143.17,13.0,4.0,Sun,8.0,Standard,0
Electronics,326.1,52.0,9.0,Sun,22.0,Standard,1
Books,410.74,23.0,9.0,Tue,1.0,Expedited,1
Clothing,194.89,30.0,8.0,Wed,15.0,Standard,0
Clothing,178.57,55.0,5.0,Sat,15.0,Expedited,0
Toys,145.67,112.0,2.0,Sat,9.0,SameDay,0
Toys,481.28,89.0,2.0,Thu,0.0,Standard,0
Clothing,196.21,102.0,3.0,Sun,3.0,SameDay,1
Toys,457.99,57.0,0.0,Fri,21.0,SameDay,0
Home,450.46,3.0,3.0,Wed,20.0,SameDay,1
Clothing,300.73,40.0,9.0,Sat,19.0,Expedited,1
Home,337.3,25.0,1.0,Tue,23.0,Standard,0
Electronics,35.71,97.0,6.0,Thu,14.0,SameDay,0
Toys,78.24,26.0,1.0,Wed,14.0,Expedited,0
Toys,104.23,36.0,1.0,Sat,7.0,Standard,0
Toys,70.84,110.0,8.0,Thu,6.0,Expedited,0
Electronics,287.74,,4.0,Thu,10.0,Expedited,1
Books,89.78,18.0,0.0,Thu,13.0,SameDay,0
Clothing,240.3,100.0,3.0,Tue,14.0,Expedited,0
Books,135.58,29.0,5.0,Mon,3.0,SameDay,0
Electronics,375.45,103.0,5.0,Sat,13.0,Standard,1
Home,405.94,62.0,3.0,Mon,16.0,Expedited,1
Clothing,379.95,3.0,8.0,Sun,17.0,Standard,1
Clothing,10.94,100.0,7.0,Mon,12.0,Expedited,0
Books,172.35,114.0,9.0,Sat,3.0,Standard,0
Home,388.37,1.0,9.0,Thu,9.0,SameDay,1
Clothing,354.87,17.0,8.0,Mon,11.0,Standard,1
Home,436.84,86.0,3.0,Tue,1.0,Standard,1
Toys,167.86,14.0,8.0,Fri,17.0,Standard,0
Home,493.73,5.0,4.0,Fri,1.0,Standard,1
Books,363.05,85.0,3.0,Tue,15.0,SameDay,1
Books,307.69,52.0,3.0,Thu,14.0,Standard,1
Clothing,366.46,88.0,0.0,Sun,12.0,Expedited,0
Books,,10.0,9.0,Sun,22.0,Standard,0
Electronics,336.26,89.0,5.0,Mon,11.0,SameDay,1
Books,337.4,6.0,7.0,Mon,19.0,SameDay,1
Books,194.87,116.0,9.0,Thu,6.0,SameDay,0
Electronics,397.13,90.0,4.0,Sun,,Expedited,1
Electronics,492.4,24.0,9.0,Mon,23.0,Expedited,1
Toys,446.58,30.0,2.0,Tue,15.0,Standard,0
Clothing,43.92,92.0,4.0,Sat,1.0,Standard,0
Home,336.29,31.0,9.0,Sun,20.0,Standard,1
Books,13.92,,1.0,Sun,2.0,Standard,0
Electronics,244.23,62.0,2.0,Mon,,Standard,0
Books,354.0,59.0,4.0,Sun,9.0,Standard,1
Clothing,327.16,,5.0,Sat,,Standard,1
Electronics,215.16,83.0,2.0,Fri,8.0,SameDay,0
Home,312.62,18.0,6.0,Sat,13.0,Expedited,1
Books,390.05,77.0,1.0,Thu,17.0,Standard,0
Home,89.98,40.0,6.0,Thu,21.0,SameDay,0
Books,163.23,39.0,6.0,Wed,19.0,Standard,0
Toys,394.55,88.0,1.0,Sat,14.0,SameDay,0
Toys,28.25,108.0,6.0,Tue,16.0,Standard,0
Electronics,370.29,78.0,5.0,Mon,10.0,Standard,1
Clothing,488.01,111.0,9.0,Mon,14.0,Expedited,1
Home,84.74,60.0,0.0,Fri,4.0,Expedited,0
Toys,429.23,110.0,0.0,Fri,20.0,SameDay,0
Electronics,,55.0,7.0,Tue,9.0,Standard,0
Books,184.28,6.0,8.0,Sun,19.0,Standard,0
Home,,28.0,6.0,Tue,11.0,Standard,0
Books,316.31,28.0,6.0,Wed,23.0,Expedited,1
Clothing,32.83,56.0,8.0,Wed,11.0,SameDay,1
Clothing,89.38,16.0,0.0,Fri,11.0,Expedited,0
Clothing,348.23,55.0,6.0,Wed,,Expedited,1
Books,450.63,99.0,9.0,Tue,20.0,Standard,1
Books,339.07,72.0,9.0,Fri,,Standard,1
Electronics,150.56,62.0,4.0,Tue,16.0,Expedited,0
Clothing,203.93,7.0,2.0,Sat,16.0,SameDay,1
Books,40.9,66.0,9.0,Mon,4.0,Expedited,0
Toys,,96.0,5.0,Tue,4.0,SameDay,0
Home,264.08,1.0,4.0,Fri,2.0,Standard,1
Electronics,98.62,86.0,0.0,Mon,6.0,Standard,0
Books,412.52,84.0,9.0,Mon,23.0,Expedited,1
Toys,275.15,,6.0,Thu,15.0,SameDay,0
Home,109.45,6.0,8.0,Mon,10.0,Standard,0
Books,260.01,88.0,6.0,Mon,7.0,Standard,0
Home,240.93,95.0,1.0,Sun,19.0,Standard,0
Toys,467.53,41.0,8.0,Wed,3.0,SameDay,1
Toys,404.81,78.0,3.0,Sun,6.0,Expedited,1
Clothing,28.94,51.0,4.0,Mon,19.0,SameDay,1
Toys,91.12,72.0,5.0,Sat,23.0,Standard,0
Home,305.45,94.0,9.0,Wed,7.0,Standard,1
Electronics,65.03,16.0,4.0,Thu,10.0,Standard,0
Books,218.9,29.0,0.0,Fri,2.0,SameDay,0
Clothing,,114.0,6.0,Thu,3.0,Expedited,0
Home,441.84,33.0,5.0,Fri,14.0,Expedited,1
Home,108.71,113.0,9.0,Tue,6.0,SameDay,0
Electronics,161.25,55.0,6.0,Sun,4.0,Expedited,0
Electronics,,116.0,0.0,Thu,2.0,SameDay,0
Clothing,395.08,77.0,2.0,Tue,12.0,Standard,0
Toys,5.12,63.0,2.0,Wed,11.0,SameDay,0
Books,169.84,62.0,2.0,Sun,20.0,SameDay,0
Home,29.84,90.0,5.0,Thu,6.0,Standard,0
Electronics,377.73,17.0,0.0,Sun,5.0,Standard,0
Toys,454.09,95.0,6.0,Wed,16.0,SameDay,1
Toys,300.04,63.0,5.0,Fri,11.0,Expedited,1
Clothing,169.43,66.0,2.0,Thu,1.0,Standard,0
Toys,59.19,91.0,8.0,Sun,20.0,SameDay,0
Clothing,377.14,5.0,2.0,Thu,17.0,SameDay,1
Home,346.71,47.0,,Thu,13.0,Standard,1
Clothing,174.42,7.0,0.0,Wed,3.0,Expedited,0
Clothing,324.23,,8.0,Sun,0.0,Standard,1
Clothing,480.0,18.0,1.0,Tue,9.0,Standard,0
Electronics,116.48,75.0,4.0,Tue,23.0,SameDay,0
Books,291.48,87.0,5.0,Wed,6.0,SameDay,0
Home,472.77,58.0,7.0,Fri,13.0,SameDay,1
Toys,453.13,,0.0,Wed,3.0,Expedited,0
Toys,423.53,16.0,9.0,Fri,7.0,Standard,1
Home,245.51,48.0,7.0,Tue,7.0,Expedited,0
Home,153.47,7.0,,Tue,7.0,SameDay,0
Books,269.07,108.0,1.0,Thu,7.0,Expedited,0
Books,321.29,76.0,8.0,Sat,8.0,Standard,1
Books,72.96,60.0,,Wed,22.0,Expedited,0
Toys,328.62,63.0,1.0,Fri,10.0,Expedited,0
Toys,174.77,74.0,6.0,Tue,16.0,SameDay,0
Toys,402.75,31.0,3.0,Wed,4.0,SameDay,1
Toys,,6.0,8.0,Tue,13.0,Expedited,0
Toys,324.73,76.0,3.0,Thu,16.0,SameDay,1
Toys,26.72,70.0,2.0,Thu,21.0,Expedited,0
Toys,457.72,98.0,8.0,Wed,21.0,Expedited,1
Electronics,490.42,111.0,1.0,Sat,19.0,Expedited,0
Books,82.67,22.0,1.0,Fri,8.0,Expedited,0
Home,346.57,62.0,7.0,Wed,13.0,Standard,1
Electronics,342.85,109.0,3.0,Wed,2.0,Standard,1
Electronics,92.69,17.0,9.0,Thu,18.0,Expedited,0
Electronics,285.39,118.0,5.0,Thu,7.0,Standard,0
Toys,173.77,117.0,0.0,Thu,8.0,Standard,0
Clothing,218.74,12.0,6.0,Thu,13.0,Expedited,0
Clothing,100.7,84.0,3.0,Wed,19.0,Expedited,0
Clothing,235.1,116.0,7.0,Wed,23.0,Expedited,0
Home,67.78,21.0,4.0,Wed,,SameDay,0
Books,41.32,111.0,2.0,Wed,4.0,Expedited,0
Electronics,155.17,17.0,8.0,Sun,16.0,SameDay,0
